id,api_key,question,new_ques,segment,answer,state,label_id,create_time,update_time
470698,f76e46eff9614883accc555388290abb,你看欧洲杯吗,你看欧洲杯吗,"你/rr 看/v 欧洲/ns 杯/ng 吗/y","{""questiongroupid"":""2b396343-4e51-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470929,f76e46eff9614883accc555388290abb,入住流程步骤5,入住流程步骤5,"入住/v 流程/n 步骤/n 5/m","{""questiongroupid"":""e12b7d97-d3e3-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470933,f76e46eff9614883accc555388290abb,入住流程步骤9,入住流程步骤9,"入住/v 流程/n 步骤/n 9/m","{""questiongroupid"":""2b8fb5d9-d3e4-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
471983,f76e46eff9614883accc555388290abb,到德阳的火车,到德阳的火车,"到/v 德阳/ns 的/ude1 火车/n","{""questiongroupid"":""2ba5c1d3-394d-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
471984,f76e46eff9614883accc555388290abb,到成都的火车,到成都的火车,"到/v 成都/ns 的/ude1 火车/n","{""questiongroupid"":""2bf32994-394d-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
471982,f76e46eff9614883accc555388290abb,到绵阳的火车,到绵阳的火车,"到/v 绵阳/ns 的/ude1 火车/n","{""questiongroupid"":""2b44ba81-394d-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
472008,f76e46eff9614883accc555388290abb,到龙市的火车,到龙市的火车,"到/v 龙市/nr 的/ude1 火车/n","{""questiongroupid"":""3442b264-394d-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470806,f76e46eff9614883accc555388290abb,小青岛灯塔开放时间,小青岛灯塔开放时间,"小/a 青岛/ns 灯塔/n 开放/v 时间/n","{""questiongroupid"":""72bf1bd0-4f1c-11e6-93f4-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470939,f76e46eff9614883accc555388290abb,帮我算个命吧,算个命吧,"帮/v 我/rr 算/v 个/q 命/n 吧/y","{""questiongroupid"":""a2bc0242-c763-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470903,f76e46eff9614883accc555388290abb,广州南站开通日期是哪日,广州南站开通日期是哪日,"广州南站/nt 开通/v 日期/n 是/vshi 哪/ry 日/b","{""questiongroupid"":""a0876ba4-920e-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470901,f76e46eff9614883accc555388290abb,广州南站的具体位置,广州南站的具体位置,"广州南站/nt 的/ude1 具体位置/nz","{""questiongroupid"":""a06c258f-920e-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470816,f76e46eff9614883accc555388290abb,爸爸来了吗,爸爸来了吗,"爸爸/n 来/vf 了/ule 吗/y","{""questiongroupid"":""eeb3c2b4-4e4a-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470740,f76e46eff9614883accc555388290abb,第二十五届吉祥物是什么,第二十五届吉祥物是什么,"第二/mq 十/mq 五/mq 届/q 吉祥物/n 是/vshi 什么/ry","{""questiongroupid"":""382a2bbd-4f01-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470825,f76e46eff9614883accc555388290abb,身材怎么样,身材怎么样,"身材/n 怎么样/ryv","{""questiongroupid"":""3a999465-4e42-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
471697,f76e46eff9614883accc555388290abb,青岛到徐州,青岛到徐州,"青岛/ns 到/v 徐州/ns","{""questiongroupid"":""e12b90c1-394c-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
471686,f76e46eff9614883accc555388290abb,青岛到淄博,青岛到淄博,"青岛/ns 到/v 淄博/ns","{""questiongroupid"":""dc0192b0-394c-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470714,f76e46eff9614883accc555388290abb,青岛啤酒节有哪些美食,青岛啤酒节有什么美食,"青岛/ns 啤酒节/n 有/vyou 哪些/ry 美食/n","{""questiongroupid"":""662b3f6b-4ee0-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470795,f76e46eff9614883accc555388290abb,青岛沧口长途汽车站怎么走,青岛沧口长途汽车站怎么走,"青岛/ns 沧口/nz 长途汽车站/n 怎么走/nz","{""questiongroupid"":""1d2a52b5-4fb9-11e6-93f4-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470794,f76e46eff9614883accc555388290abb,青岛第二长途汽车站怎么走,青岛第二长途汽车站怎么走,"青岛/ns 第二/mq 长途汽车站/n 怎么走/nz","{""questiongroupid"":""fb22f2bc-4fb8-11e6-93f4-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
